2007,MBMO,Bastion Moderate Fund of Funds ,20100630,10.26,9.23,24.22,0.01,4.82,10.52,22.7,17.27,0.28,0,1.8
2009,MBWO,Bastion Worldwide Flexible Fund of Funds ,20100630,10.07,6.69,17.09,0.01,0.31,0.62,10.67,51.36,0.41,0,4.69
2256,BIPINF,Bips Government Inflation-Linked Fund (Inflation-X) ,20100630,0,0,0,0.00,0,99.65,0.34,0,0,0,0
2184,BIPS40,Bips Top 40 Portfolio ,20100630,48.75,17.58,32.17,0.00,1.49,0,0,0,0,0,0
2023,BJBA2,BJM Bond Fund B1,20100630,0,0,0,0.00,0,88.77,11.22,0,0,0,0
2021,BCEA2,BJM Core Equity Fund B1,20100630,15.73,8.69,46.32,0.06,1.86,0.22,4.11,6.12,0,0,14.61
2022,BIFA2,BJM Income Fund B1,20100630,0,0.06,1.3,0.00,2.18,73.68,10.81,0,0,0,13.26
2024,BJPA2,BJM Property Fund B1,20100630,4.37,-4.36,0,0.00,78.39,0,21.6,0,0,0,0
2026,BPFA2,BJM Prudential Flexible Fund B1,20100630,4.68,5.43,23.27,0.04,4.76,16.7,23.91,7.34,0,0,13.09
1614,MBAS,BlueAlpha All Seasons Fund ,20100630,18,15.2,31.84,0.00,0,0,17.43,17.7,0,0,0
2261,BRMF,Brackenham Managed Fund ,20100630,12.05,31.73,22.2,0.00,0,3.56,34.01,19.58,0,0,0
1606,AHAY,Cadiz Absolute Yield Fund A,20100630,0,0.02,0,0.00,4.77,41.38,53.84,0,0,0,0
1564,CCEL,Cadiz Equity Ladder Fund ,20100630,35.78,22.6,29.16,0.00,0.79,0,17.66,0,0,0,0
1613,CCIP,Cadiz Inflation Plus Fund ,20100630,14.93,11.59,21.5,0.00,5.18,12.45,40.68,0,0,0,0
1607,AHBF,Cadiz Managed Flexible Fund A,20100630,18.37,16.69,30.51,0.00,4.49,7.59,21.69,0,0,0,0
1609,AHMF,Cadiz Mastermind Fund A,20100630,24.58,23.2,49.82,0.00,0.3,0,2.09,0,0,0,0
1618,AFMM,Cadiz Money Market Fund ,20100630,0,0,0,0.00,0,0,100,0,0,0,0
1688,CCCF,Cannon Core Companies Fund ,20100630,38.98,24.31,36.26,0.00,0,0,0.45,0,0,0,0
1565,MCEF,Cannon Equity Fund ,20100630,35.27,20.36,39.87,0.57,1.78,0,2.14,0,0,0,0
1517,CAEF,Capstone Active Equity Fund of Funds ,20100630,11.8,54.94,25.62,0.18,0.37,0.43,3.37,2.14,1.05,0,0.58
1999,MPCF,Capstone Flexible Fund of Funds ,20100630,5.46,15.34,59.93,0.12,0.81,1.19,9.03,0,8.52,0,0.38
2102,MSFB,Carinus Strydom CS Flexible Fund of Funds B,20100630,16.75,10.34,30.96,0.03,1.72,8.24,15.11,14.34,0.48,0,1.91
2103,MCSB,Carinus Strydom CS Prudential Fund of Funds B,20100630,12.31,6.83,23.03,0.00,1.64,14.71,23.59,12.97,1.58,0,2.47
2251,CGRF,Catalyst Global Real Estate Feeder Fund ,20100630,0,0,0,0.00,0,0,4.99,94.99,0,0,0.01
1509,CSPEF,Catalyst SA Property Equity Fund A,20100630,0,0,0,0.00,93.66,0,2.8,3.53,0,0,0
1873,MCEC,Celtis Conservative Fund of Funds A,20100630,8.32,5.89,16.21,0.05,8.23,18.47,36.53,4.73,1.82,0,1.08
1874,MCEL,Celtis Flexible Fund of Funds A,20100630,17.43,11.11,32.6,0.11,9.91,1.12,8.96,16.01,0.7,0,0.22
1489,MCFM,Centaur Flexible Fund ,20100630,10.57,19.62,50.64,0.00,9,4.33,5.82,0,0,0,0
2061,CFFB8,Central Fundisa Fund B8,20100630,0,0,0,0.00,0,98.73,1.26,0,0,0,0
2124,MCCF,Clade Cash Flow Weighted Equity Fund ,20100630,44.05,17.5,32.9,0.00,0,0,5.55,0,0,0,0
